name;capacity;loctype;meetingOffset
AK;1;; 
AKT;1;; 
AK_283;1;; 
AK_285;1;; 
APT;1;; 
APT_L3;1;; 
BFS;1;; 
BFS_183;1;;
BFS_185;1;;
BJF;1;;
BJF_383;1;;
BJF_385;1;;
BLN;1;;
BLN_323;1;;
FJÅ;1;;
GV;1;;
GV1;1;;
GV2;1;;
GY;1;;
HAR;1;;
HÅK;1;;
KIA;1;;
KJÅ;1;;
KMB;1;;
KOS;1;;
KPE;1;;
KPE_243;1;;
KPE_245;1;;
KTM;1;;
KV;1;;
KV_125;1;;
KX;1;;
KÅ;1;;
KÅ_343;1;;
LAB;1;;
LIN;1;;
LÅK;1;;
MTN;1;;
NO.DJU;1;;
NO.FGL;1;;
NO.KAT;1;;
NO.NK;1;;
NO.ORN;1;;
NO.ROM;1;;
NO.ROML3;1;;
NO.SMS;1;;
NO.SÖS;1;;
PEA;1;;
PEA1;1;;
PEA2;1;;
PEA_L3;1;;
PEA_L5;1;;
PII;1;;
RGN;1;;
RSI;1;;
RSI1;1;;
RSI2;1;;
RSN;1;;
RSN_163;1;;
RSN_165;1;;
RUT;1;;
RUT_143;1;;
RUT_145;1;;
SBK;1;;
SBK_223;1;;
SBK_225;1;;
SJKA;1;;
SOA;1;;
SOA_263;1;;
SOA_265;1;;
STK;1;;
SVV;1;;
TNK;1;;
TNK_203;1;;
TNK_205;1;;
VJ;1;;
VJ_363;1;;
VJ_365;1;;
